date,open,high,low,close,volume
1982-02-03,0.0701,0.0706,0.0701,0.0701,31472000
1982-02-04,0.0688,0.0688,0.0684,0.0684,22041600
1982-02-05,0.0684,0.0688,0.0684,0.0684,40297600
1982-02-08,0.0645,0.0645,0.0641,0.0641,31696000
1982-02-09,0.0641,0.0645,0.0641,0.0641,57904000
1982-02-10,0.0649,0.0654,0.0649,0.0649,38796800
1982-02-11,0.0645,0.0645,0.0641,0.0641,24528000
1982-02-12,0.0649,0.0654,0.0649,0.0649,19644800
1982-02-16,0.0641,0.0641,0.0636,0.0636,34316800
1982-02-17,0.0645,0.0649,0.0645,0.0645,25580800
1982-02-18,0.0654,0.0658,0.0654,0.0654,28380800
1982-02-19,0.0654,0.0654,0.0649,0.0649,13596800
1982-02-22,0.0645,0.0645,0.0641,0.0641,26633600
1982-02-23,0.0636,0.0636,0.0632,0.0632,34540800
1982-02-24,0.0636,0.0641,0.0636,0.0636,37945600
1982-02-25,0.0636,0.0636,0.0632,0.0632,30800000
1982-02-26,0.0632,0.0636,0.0632,0.0632,17427200
1982-03-01,0.0636,0.0641,0.0636,0.0636,35302400
1982-03-02,0.0636,0.0641,0.0636,0.0636,34809600
1982-03-03,0.0636,0.0641,0.0636,0.0636,23654400
1982-03-04,0.0628,0.0628,0.0623,0.0623,38371200
1982-03-05,0.0580,0.0580,0.0576,0.0576,45315200
1982-03-08,0.0571,0.0571,0.0567,0.0567,35145600
1982-03-09,0.0571,0.0576,0.0571,0.0571,52505600
1982-03-10,0.0567,0.0567,0.0563,0.0563,86934400
1982-03-11,0.0563,0.0571,0.0563,0.0563,22579200
1982-03-12,0.0532,0.0532,0.0528,0.0528,46547200
1982-03-15,0.0528,0.0528,0.0524,0.0524,51363200
1982-03-16,0.0519,0.0519,0.0515,0.0515,47152000
1982-03-17,0.0494,0.0494,0.0489,0.0489,50489600
1982-03-18,0.0528,0.0532,0.0528,0.0528,56336000
1982-03-19,0.0576,0.0580,0.0576,0.0576,65811200
1982-03-22,0.0619,0.0623,0.0619,0.0619,69193600
1982-03-23,0.0615,0.0615,0.0610,0.0610,55955200
1982-03-24,0.0580,0.0580,0.0576,0.0576,51609600
1982-03-25,0.0576,0.0576,0.0571,0.0571,84112000
1982-03-26,0.0567,0.0567,0.0563,0.0563,50780800
1982-03-29,0.0576,0.0580,0.0576,0.0576,67603200
1982-03-30,0.0585,0.0589,0.0585,0.0585,77952000
1982-03-31,0.0585,0.0589,0.0585,0.0585,50153600
1982-04-01,0.0615,0.0619,0.0615,0.0615,59136000
1982-04-02,0.0615,0.0619,0.0615,0.0615,84806400
1982-04-05,0.0615,0.0619,0.0615,0.0615,86643200
1982-04-06,0.0615,0.0615,0.0610,0.0610,71590400
1982-04-07,0.0606,0.0606,0.0602,0.0602,29097600
1982-04-08,0.0606,0.0610,0.0606,0.0606,23990400
1982-04-12,0.0606,0.0610,0.0602,0.0602,44307200
1982-04-13,0.0559,0.0559,0.0554,0.0554,85299200
1982-04-14,0.0559,0.0563,0.0559,0.0559,113590400
1982-04-15,0.0567,0.0571,0.0567,0.0567,164281600
1982-04-16,0.0585,0.0589,0.0585,0.0585,104048000
1982-04-19,0.0580,0.0580,0.0571,0.0571,41283200
